epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6953,4.26933,7.26437,3.68644,0.21096,0.16332,0.04393,0.01842,3.99953,7.99391,3.62642,0.000328571,0.000328571,0.000328571
2,34.4175,3.7136,5.23931,3.16767,0.51345,0.1581,0.20543,0.07766,3.81637,4.5148,3.41155,0.000659284,0.000659284,0.000659284
3,48.8911,3.68065,4.91094,3.22743,0.54575,0.24177,0.19684,0.06063,4.5383,4.47868,3.99865,0.000987356,0.000987356,0.000987356
4,63.5196,3.64165,4.64191,3.23351,0.56575,0.32841,0.23948,0.11821,3.36066,4.06579,3.19265,0.00098812,0.00098812,0.00098812
5,78.086,3.64252,4.6009,3.16532,0.48778,0.24866,0.22175,0.10433,3.2655,3.95321,3.09835,0.00098416,0.00098416,0.00098416
6,93.3641,3.61008,4.47453,3.17054,0.46994,0.24309,0.21523,0.08984,3.92113,4.01803,3.65066,0.0009802,0.0009802,0.0009802
7,108.327,3.60158,4.39541,3.17148,0.61584,0.27547,0.28953,0.12785,3.7352,3.89618,3.41094,0.00097624,0.00097624,0.00097624
8,124.236,3.51185,4.24332,3.13997,0.67178,0.26181,0.3021,0.15808,3.3121,3.54729,3.18346,0.00097228,0.00097228,0.00097228
9,138.53,3.45295,4.14075,3.12116,0.65855,0.31515,0.33388,0.16706,3.50943,3.4271,3.25353,0.00096832,0.00096832,0.00096832
10,156.761,3.473,4.08007,3.13257,0.60437,0.38072,0.33187,0.15882,3.54556,3.46919,3.27251,0.00096436,0.00096436,0.00096436
11,174.262,3.45369,4.08323,3.08659,0.64019,0.34038,0.33742,0.16582,3.37042,3.61123,3.22044,0.0009604,0.0009604,0.0009604
12,196.266,3.4707,3.93796,3.14833,0.52079,0.328,0.36023,0.18469,3.08265,3.60467,3.06864,0.00095644,0.00095644,0.00095644
13,216.093,3.40574,3.94929,3.06441,0.40138,0.42461,0.36688,0.16861,3.34514,3.36773,3.16908,0.00095248,0.00095248,0.00095248
14,230.551,3.46447,3.92603,3.08891,0.44747,0.50274,0.41506,0.21847,3.07319,3.22701,3.00288,0.00094852,0.00094852,0.00094852
15,244.609,3.5267,3.93827,3.1092,0.54063,0.29985,0.38621,0.19453,3.39368,3.30797,3.19427,0.00094456,0.00094456,0.00094456
16,258.635,3.35462,3.88457,3.07635,0.52557,0.43341,0.41249,0.21952,3.12861,3.34868,3.0368,0.0009406,0.0009406,0.0009406
17,273.31,3.3423,3.79819,3.04108,0.6381,0.40801,0.35764,0.19282,3.28736,3.22148,3.1311,0.00093664,0.00093664,0.00093664
18,287.623,3.39484,3.90801,3.07526,0.71475,0.38044,0.40636,0.22108,3.18162,3.02281,3.10966,0.00093268,0.00093268,0.00093268
19,301.854,3.32576,3.7659,3.04289,0.54722,0.3743,0.40305,0.21698,3.19925,3.38269,3.04418,0.00092872,0.00092872,0.00092872
20,315.97,3.30972,3.70282,3.05063,0.59345,0.44664,0.44086,0.24971,2.99964,3.21083,2.9539,0.00092476,0.00092476,0.00092476
21,330.211,3.39308,3.75293,3.08798,0.65711,0.44166,0.41304,0.24748,3.13567,3.1773,3.02623,0.0009208,0.0009208,0.0009208
22,344.733,3.31728,3.64033,3.01055,0.55925,0.51453,0.43356,0.22863,3.02314,3.11408,2.95065,0.00091684,0.00091684,0.00091684
23,359.12,3.33046,3.66599,3.04848,0.644,0.47083,0.49971,0.27038,2.98218,3.0084,2.98123,0.00091288,0.00091288,0.00091288
24,374.181,3.30172,3.5826,3.00253,0.66816,0.42943,0.46677,0.25299,3.18605,2.97944,3.07495,0.00090892,0.00090892,0.00090892
25,398.497,3.30116,3.48714,3.01441,0.47345,0.67128,0.52571,0.28145,3.18208,2.96155,3.03275,0.00090496,0.00090496,0.00090496
26,412.753,3.30536,3.54385,3.02263,0.66345,0.56467,0.53041,0.27034,3.19514,3.0415,3.03718,0.000901,0.000901,0.000901
27,427.128,3.23676,3.47968,2.97153,0.624,0.38632,0.46221,0.25601,3.1798,3.07492,3.03752,0.00089704,0.00089704,0.00089704
28,441.466,3.24395,3.51627,2.98101,0.61292,0.53883,0.57357,0.32627,2.98438,2.78858,2.96372,0.00089308,0.00089308,0.00089308
29,455.742,3.19023,3.36319,2.92716,0.4508,0.62742,0.52919,0.28809,3.01459,3.11944,2.96802,0.00088912,0.00088912,0.00088912
30,469.887,3.22019,3.37994,2.95344,0.77038,0.40272,0.44971,0.251,2.99458,3.21808,2.89661,0.00088516,0.00088516,0.00088516
31,484.55,3.19482,3.40677,2.96008,0.61094,0.50626,0.52487,0.29873,2.95917,2.77966,2.9155,0.0008812,0.0008812,0.0008812
32,498.919,3.21933,3.33888,2.96698,0.64307,0.53633,0.54025,0.27327,3.28837,2.84916,3.12461,0.00087724,0.00087724,0.00087724
33,513.108,3.24655,3.37104,3.0123,0.43691,0.62478,0.53107,0.28769,3.01136,2.93607,2.95286,0.00087328,0.00087328,0.00087328
34,527.447,3.14701,3.22759,2.93321,0.69976,0.57938,0.61847,0.28649,3.75075,2.96009,3.41753,0.00086932,0.00086932,0.00086932
35,541.852,3.15019,3.21887,2.92851,0.47994,0.52521,0.52039,0.29232,3.20885,2.88985,3.08451,0.00086536,0.00086536,0.00086536
36,556.241,3.16551,3.20413,2.9144,0.5677,0.61206,0.53943,0.29844,3.12852,2.89867,3.02172,0.0008614,0.0008614,0.0008614
37,570.211,3.15747,3.27028,2.9548,0.55502,0.643,0.62935,0.32946,3.13077,2.7198,3.03617,0.00085744,0.00085744,0.00085744
38,584.397,3.1193,3.12091,2.90546,0.4392,0.49165,0.52907,0.29044,3.0331,3.22185,2.93949,0.00085348,0.00085348,0.00085348
39,598.819,3.14226,3.21827,2.92061,0.566,0.63503,0.61698,0.33642,3.06992,2.81365,3.00192,0.00084952,0.00084952,0.00084952
40,613.117,3.16995,3.18927,2.97216,0.47909,0.57519,0.55927,0.30824,2.84268,2.69836,2.84808,0.00084556,0.00084556,0.00084556
41,627.471,3.11178,3.10525,2.91415,0.59551,0.55986,0.5505,0.30999,3.11637,2.60165,3.00187,0.0008416,0.0008416,0.0008416
42,641.949,3.12572,3.10605,2.92465,0.6356,0.52896,0.59794,0.34598,3.095,2.89127,3.02263,0.00083764,0.00083764,0.00083764
43,656.989,3.18868,3.07854,2.93328,0.6986,0.60055,0.62737,0.30884,3.63866,3.01836,3.28948,0.00083368,0.00083368,0.00083368
44,671.451,3.07802,2.99721,2.86608,0.5129,0.65689,0.614,0.35485,3.11441,2.50587,2.99713,0.00082972,0.00082972,0.00082972
45,685.984,3.04826,3.00322,2.88503,0.73357,0.61617,0.62482,0.35719,3.01992,2.6185,2.93318,0.00082576,0.00082576,0.00082576
46,700.215,3.04946,2.97834,2.88168,0.53545,0.58425,0.60964,0.34072,2.95274,2.61837,2.88112,0.0008218,0.0008218,0.0008218
47,714.651,3.06639,2.9373,2.8669,0.76099,0.52995,0.59516,0.32678,3.08079,2.75893,3.03732,0.00081784,0.00081784,0.00081784
48,729.274,3.0484,2.99698,2.86565,0.68921,0.62822,0.66299,0.36362,3.02625,2.67686,2.94695,0.00081388,0.00081388,0.00081388
49,743.593,3.01104,2.82574,2.80581,0.64631,0.58017,0.57872,0.33228,2.94898,2.68539,2.91148,0.00080992,0.00080992,0.00080992
50,758.149,3.04319,2.89696,2.88493,0.72019,0.6313,0.65338,0.36418,2.95915,2.56046,2.89949,0.00080596,0.00080596,0.00080596
51,772.794,3.06952,2.885,2.89153,0.63538,0.61334,0.64407,0.36329,2.97615,2.52554,2.92105,0.000802,0.000802,0.000802
52,802.049,3.00444,2.8154,2.84287,0.75891,0.59822,0.71117,0.42451,2.95542,2.43546,2.91108,0.00079804,0.00079804,0.00079804
53,846.963,3.0548,2.88694,2.89507,0.72515,0.58579,0.67805,0.4083,2.94889,2.49039,2.93713,0.00079408,0.00079408,0.00079408
54,864.531,3.03019,2.83547,2.85509,0.71694,0.5769,0.68777,0.40138,2.88263,2.43581,2.86043,0.00079012,0.00079012,0.00079012
55,878.637,3.01875,2.83623,2.86828,0.59698,0.63796,0.71845,0.38672,3.32056,2.57978,3.10856,0.00078616,0.00078616,0.00078616
56,893.624,3.01647,2.79422,2.83015,0.64021,0.77865,0.75347,0.43365,2.97827,2.34426,2.95434,0.0007822,0.0007822,0.0007822
57,908.578,2.97994,2.72406,2.81077,0.75989,0.66833,0.75547,0.42781,3.11978,2.40425,2.98463,0.00077824,0.00077824,0.00077824
58,922.992,3.00546,2.79154,2.82462,0.78559,0.7255,0.80254,0.46329,2.90805,2.38267,2.89635,0.00077428,0.00077428,0.00077428
59,937.499,3.01454,2.78502,2.89721,0.77605,0.7215,0.79128,0.45162,3.2178,2.30017,3.06259,0.00077032,0.00077032,0.00077032
60,951.939,2.9675,2.80572,2.83855,0.76897,0.6635,0.71609,0.42801,2.73458,2.38942,2.80038,0.00076636,0.00076636,0.00076636
61,966.371,2.97503,2.75183,2.77553,0.69722,0.78311,0.74223,0.44694,2.8902,2.33584,2.87988,0.0007624,0.0007624,0.0007624
62,980.743,2.96004,2.74754,2.82816,0.67501,0.73923,0.74861,0.4442,2.86224,2.58148,2.88391,0.00075844,0.00075844,0.00075844
63,995.016,2.92714,2.65438,2.76393,0.79261,0.69728,0.76637,0.459,3.048,2.37909,2.98462,0.00075448,0.00075448,0.00075448
64,1009.86,3.04625,2.8145,2.84876,0.66703,0.72657,0.67485,0.40086,2.94853,2.39963,2.90396,0.00075052,0.00075052,0.00075052
65,1025.52,2.96538,2.64975,2.80785,0.65331,0.73578,0.73355,0.43034,2.9054,2.40947,2.92941,0.00074656,0.00074656,0.00074656
66,1061.65,2.91552,2.67304,2.78979,0.66714,0.67931,0.72546,0.43954,2.83238,2.71284,2.85975,0.0007426,0.0007426,0.0007426
67,1076.03,2.92177,2.61187,2.78797,0.82742,0.77488,0.80493,0.45556,3.01404,2.46867,2.8951,0.00073864,0.00073864,0.00073864
68,1090.56,2.89312,2.53928,2.74133,0.79979,0.7256,0.77426,0.42902,2.97217,2.40951,2.90982,0.00073468,0.00073468,0.00073468
69,1119.39,2.87364,2.54457,2.72951,0.84057,0.66746,0.76295,0.39937,2.91076,2.51537,2.90292,0.00073072,0.00073072,0.00073072
70,1140.93,2.9045,2.55935,2.78104,0.64387,0.69697,0.73801,0.44514,2.79579,2.27549,2.85254,0.00072676,0.00072676,0.00072676
71,1160.07,2.88185,2.54511,2.76087,0.75704,0.65888,0.72337,0.42357,2.93692,2.58663,2.90756,0.0007228,0.0007228,0.0007228
72,1174.58,2.83674,2.51528,2.70627,0.6934,0.65899,0.71988,0.40694,3.16061,2.68584,2.98838,0.00071884,0.00071884,0.00071884
73,1189.09,2.89095,2.53001,2.73117,0.84608,0.6139,0.75144,0.4302,2.77206,2.15511,2.81899,0.00071488,0.00071488,0.00071488
74,1203.54,2.88092,2.55985,2.77297,0.76677,0.7393,0.81351,0.48874,2.76735,2.23147,2.80099,0.00071092,0.00071092,0.00071092
75,1218.15,2.85725,2.54381,2.74727,0.81257,0.77645,0.78381,0.44449,2.81643,2.06355,2.82095,0.00070696,0.00070696,0.00070696
76,1232.45,2.81066,2.4255,2.72238,0.70438,0.66155,0.70688,0.41601,2.7877,2.37564,2.84054,0.000703,0.000703,0.000703
77,1246.95,2.82538,2.50402,2.73187,0.76039,0.77189,0.76982,0.46283,2.78562,2.28333,2.79004,0.00069904,0.00069904,0.00069904
78,1261.3,2.86212,2.49033,2.77305,0.76669,0.68589,0.76948,0.43363,2.82702,2.40087,2.8177,0.00069508,0.00069508,0.00069508
