epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3656,2.16372,3.07019,1.91068,0.23342,0.24791,0.07986,0.03025,2.03349,3.00446,2.0195,0.000328571,0.000328571,0.000328571
2,141.018,1.90727,2.34644,1.70724,0.65028,0.1791,0.13893,0.04371,2.26225,2.59706,2.04053,0.000659284,0.000659284,0.000659284
3,197.907,1.88283,2.26076,1.70787,0.52567,0.23259,0.21759,0.07879,2.18727,2.58652,2.01667,0.000987356,0.000987356,0.000987356
4,312.413,1.87591,2.19038,1.69419,0.8573,0.16154,0.27568,0.12617,1.7918,2.06624,1.69498,0.00098812,0.00098812,0.00098812
5,406.679,1.84155,2.16495,1.65975,0.37539,0.33043,0.29385,0.14841,1.59679,2.06741,1.56655,0.00098416,0.00098416,0.00098416
6,468.135,1.84698,2.12214,1.67126,0.54843,0.239,0.25004,0.11413,1.88097,2.07944,1.7751,0.0009802,0.0009802,0.0009802
7,553.597,1.82672,2.0853,1.64845,0.29191,0.30993,0.26527,0.13499,1.53444,2.15762,1.53331,0.00097624,0.00097624,0.00097624
8,643.172,1.81238,2.03326,1.63982,0.51748,0.45598,0.37646,0.18538,1.56986,1.87554,1.55961,0.00097228,0.00097228,0.00097228
9,703.541,1.78291,1.99558,1.63901,0.65212,0.38574,0.42594,0.19457,2.13283,1.76137,1.89349,0.00096832,0.00096832,0.00096832
10,782.736,1.77042,1.94043,1.62838,0.62085,0.38261,0.36391,0.17255,1.77465,1.79905,1.66792,0.00096436,0.00096436,0.00096436
11,868.666,1.75567,1.9342,1.60672,0.49167,0.37584,0.40419,0.20328,1.58796,1.81313,1.55281,0.0009604,0.0009604,0.0009604
12,948.375,1.7706,1.88648,1.63119,0.69243,0.35308,0.37928,0.18451,1.76445,1.75437,1.65676,0.00095644,0.00095644,0.00095644
13,1017.78,1.72876,1.87664,1.58363,0.52102,0.49756,0.43009,0.23115,1.60738,1.66803,1.55083,0.00095248,0.00095248,0.00095248
14,1091.35,1.73349,1.85733,1.58282,0.48585,0.40819,0.41134,0.20916,1.63077,2.03801,1.59141,0.00094852,0.00094852,0.00094852
