epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.52248,2.38737,3.83012,1.9767,0.85138,0.05721,0.03445,0.01533,2.22395,3.29893,1.87853,0.000328571,0.000328571,0.000328571
2,15.6586,2.07019,2.90987,1.62082,0.60731,0.08738,0.1094,0.04721,1.85241,2.72556,1.54865,0.000659284,0.000659284,0.000659284
3,22.5967,1.96836,2.70694,1.57708,0.587,0.19462,0.11972,0.04835,1.92204,2.49617,1.59183,0.000987356,0.000987356,0.000987356
4,28.7514,1.89347,2.54257,1.53952,0.9859,0.13889,0.18598,0.09511,1.67894,2.27992,1.47805,0.00098812,0.00098812,0.00098812
5,34.6279,1.90642,2.51161,1.53371,0.58434,0.1552,0.12087,0.06277,1.70529,2.42231,1.41627,0.00098416,0.00098416,0.00098416
6,40.6148,1.85914,2.44114,1.52499,0.45541,0.21642,0.19422,0.08014,1.84539,2.35191,1.64966,0.0009802,0.0009802,0.0009802
7,46.4177,1.80322,2.37202,1.50215,0.81127,0.18542,0.20887,0.10777,1.66033,2.17611,1.5046,0.00097624,0.00097624,0.00097624
8,52.238,1.81489,2.31983,1.51182,0.5714,0.2987,0.24894,0.12899,1.61385,2.11746,1.48092,0.00097228,0.00097228,0.00097228
9,58.0665,1.76179,2.2712,1.48767,0.55928,0.32589,0.28719,0.14737,1.54689,2.05415,1.44814,0.00096832,0.00096832,0.00096832
10,63.8823,1.76234,2.25803,1.49204,0.52672,0.32719,0.26997,0.14802,1.62926,1.93693,1.50717,0.00096436,0.00096436,0.00096436
11,69.7839,1.75979,2.23585,1.48228,0.57073,0.3913,0.30107,0.13649,1.67172,2.00861,1.48908,0.0009604,0.0009604,0.0009604
12,75.5779,1.71947,2.16324,1.47214,0.57852,0.34268,0.30059,0.13896,1.66162,2.01595,1.48985,0.00095644,0.00095644,0.00095644
13,81.4256,1.72917,2.14146,1.46351,0.63828,0.34954,0.32052,0.1722,1.553,1.84603,1.42115,0.00095248,0.00095248,0.00095248
14,87.2764,1.74972,2.15327,1.47344,0.66702,0.3161,0.30356,0.16446,1.4818,1.93067,1.37373,0.00094852,0.00094852,0.00094852
15,93.1102,1.75091,2.15096,1.4569,0.6916,0.31515,0.35617,0.176,1.58648,1.83687,1.44598,0.00094456,0.00094456,0.00094456
16,98.9644,1.70114,2.1239,1.46661,0.68019,0.29399,0.37255,0.18607,1.57155,1.84026,1.45972,0.0009406,0.0009406,0.0009406
17,104.91,1.7216,2.09885,1.47368,0.64358,0.32388,0.34681,0.17829,1.64036,1.83417,1.46623,0.00093664,0.00093664,0.00093664
18,110.803,1.72277,2.11421,1.47477,0.64926,0.37138,0.33322,0.15696,1.71437,1.84996,1.52554,0.00093268,0.00093268,0.00093268
19,116.708,1.68879,2.06097,1.44609,0.4678,0.38652,0.34936,0.17935,1.55951,1.85817,1.44438,0.00092872,0.00092872,0.00092872
20,122.537,1.6766,2.04257,1.45461,0.58799,0.41744,0.3268,0.17621,1.48032,1.83969,1.3771,0.00092476,0.00092476,0.00092476
21,128.302,1.70995,2.06243,1.45947,0.64753,0.36986,0.38176,0.18653,1.67594,1.81499,1.46147,0.0009208,0.0009208,0.0009208
22,134.174,1.68477,2.00117,1.43126,0.59026,0.3904,0.33818,0.17844,1.49358,1.82315,1.37818,0.00091684,0.00091684,0.00091684
23,140.015,1.69713,2.01424,1.45545,0.65964,0.32583,0.39025,0.20583,1.55402,1.85147,1.42771,0.00091288,0.00091288,0.00091288
24,145.832,1.68663,1.99643,1.43807,0.5031,0.42629,0.38561,0.17377,1.668,1.76941,1.46542,0.00090892,0.00090892,0.00090892
25,151.741,1.66753,1.97355,1.42615,0.43129,0.46483,0.38516,0.19499,1.5082,1.7902,1.3669,0.00090496,0.00090496,0.00090496
26,157.644,1.66103,1.97279,1.42737,0.29167,0.40074,0.38332,0.19231,1.62571,1.73696,1.45623,0.000901,0.000901,0.000901
27,164.048,1.65659,1.9602,1.42283,0.67728,0.41364,0.41135,0.19887,1.49157,1.75401,1.3853,0.00089704,0.00089704,0.00089704
28,170.9,1.69701,1.99122,1.43972,0.51418,0.41899,0.38086,0.1947,1.55708,1.74058,1.4097,0.00089308,0.00089308,0.00089308
29,177.945,1.65391,1.91745,1.40451,0.49355,0.46182,0.4159,0.21329,1.52207,1.80571,1.37817,0.00088912,0.00088912,0.00088912
30,184.862,1.64113,1.91676,1.40726,0.52416,0.46034,0.40878,0.20333,1.66484,1.72203,1.48593,0.00088516,0.00088516,0.00088516
31,191.043,1.6461,1.92552,1.41535,0.36681,0.51578,0.44975,0.21594,1.577,1.7234,1.41322,0.0008812,0.0008812,0.0008812
32,196.984,1.649,1.90274,1.41389,0.58811,0.44201,0.42919,0.21405,1.6145,1.72125,1.43623,0.00087724,0.00087724,0.00087724
33,202.806,1.6605,1.9061,1.4252,0.58872,0.47483,0.4361,0.21363,1.5443,1.71303,1.38505,0.00087328,0.00087328,0.00087328
34,208.604,1.61982,1.84668,1.39523,0.57951,0.5009,0.44805,0.1963,1.90165,1.78996,1.59507,0.00086932,0.00086932,0.00086932
35,214.52,1.61388,1.85317,1.39047,0.59369,0.41935,0.43526,0.22453,1.56631,1.7135,1.40889,0.00086536,0.00086536,0.00086536
36,220.412,1.62021,1.83534,1.3907,0.36467,0.54562,0.46667,0.21886,1.67133,1.74097,1.43784,0.0008614,0.0008614,0.0008614
37,226.224,1.62417,1.86724,1.40363,0.43663,0.49316,0.4925,0.22654,1.52841,1.67415,1.35639,0.00085744,0.00085744,0.00085744
38,232.054,1.60266,1.8221,1.37929,0.44135,0.48512,0.47024,0.23453,1.52387,1.71927,1.3623,0.00085348,0.00085348,0.00085348
39,237.946,1.62158,1.85857,1.39747,0.47195,0.45675,0.45845,0.23717,1.62195,1.737,1.42327,0.00084952,0.00084952,0.00084952
40,243.834,1.62343,1.83652,1.395,0.66694,0.46387,0.45244,0.23962,1.55132,1.74606,1.37656,0.00084556,0.00084556,0.00084556
41,249.641,1.60463,1.80921,1.383,0.60861,0.49861,0.48796,0.24092,1.57652,1.74479,1.40698,0.0008416,0.0008416,0.0008416
42,255.486,1.60598,1.80589,1.38861,0.59942,0.45609,0.49157,0.24141,1.48632,1.67818,1.36465,0.00083764,0.00083764,0.00083764
43,261.382,1.63589,1.80733,1.38505,0.57013,0.48535,0.4525,0.22644,1.61944,1.70535,1.41478,0.00083368,0.00083368,0.00083368
44,267.337,1.59418,1.77227,1.3685,0.43149,0.54734,0.48832,0.2424,1.542,1.61273,1.38593,0.00082972,0.00082972,0.00082972
45,273.145,1.58764,1.76066,1.38215,0.60557,0.53136,0.48136,0.23417,1.82094,1.69862,1.49179,0.00082576,0.00082576,0.00082576
46,278.983,1.5904,1.76546,1.37526,0.61331,0.56897,0.49898,0.24807,1.61368,1.67815,1.42392,0.0008218,0.0008218,0.0008218
47,284.895,1.59022,1.74066,1.36586,0.43984,0.49076,0.4497,0.22035,1.64764,1.7166,1.46487,0.00081784,0.00081784,0.00081784
48,290.794,1.5768,1.74655,1.36333,0.68067,0.4907,0.48825,0.23195,1.6228,1.77439,1.38824,0.00081388,0.00081388,0.00081388
49,296.66,1.57037,1.69725,1.34165,0.6304,0.49599,0.47123,0.23642,1.59465,1.67395,1.38787,0.00080992,0.00080992,0.00080992
50,302.443,1.57941,1.72834,1.37132,0.47528,0.48949,0.48824,0.24215,1.54301,1.64887,1.38742,0.00080596,0.00080596,0.00080596
51,308.297,1.57113,1.72393,1.35912,0.40317,0.473,0.46385,0.24213,1.55363,1.63241,1.37126,0.000802,0.000802,0.000802
52,314.155,1.57507,1.69612,1.35727,0.35432,0.62087,0.50421,0.22502,1.56804,1.68915,1.43406,0.00079804,0.00079804,0.00079804
53,320.004,1.59473,1.73086,1.37847,0.43645,0.50946,0.49267,0.24429,1.51404,1.6238,1.3697,0.00079408,0.00079408,0.00079408
54,325.943,1.58491,1.70413,1.36165,0.67847,0.53318,0.52016,0.23016,1.73811,1.60422,1.44069,0.00079012,0.00079012,0.00079012
55,331.837,1.57398,1.70237,1.36146,0.63119,0.56934,0.49767,0.26172,1.5128,1.56619,1.33705,0.00078616,0.00078616,0.00078616
56,337.72,1.57455,1.66753,1.35059,0.71596,0.49698,0.51727,0.26225,1.49595,1.64098,1.33888,0.0007822,0.0007822,0.0007822
57,343.646,1.55844,1.66081,1.33826,0.61123,0.56651,0.51235,0.2604,1.56147,1.67184,1.36698,0.00077824,0.00077824,0.00077824
58,349.543,1.56699,1.68106,1.34967,0.5011,0.44736,0.48561,0.25918,1.48255,1.63119,1.33686,0.00077428,0.00077428,0.00077428
59,355.459,1.58422,1.68617,1.37763,0.71048,0.52784,0.55112,0.27594,1.59582,1.61691,1.40717,0.00077032,0.00077032,0.00077032
60,361.549,1.54881,1.65745,1.34728,0.54172,0.44455,0.49359,0.25284,1.53062,1.61431,1.34719,0.00076636,0.00076636,0.00076636
61,367.437,1.58162,1.67659,1.34462,0.78219,0.42163,0.52166,0.27099,1.54341,1.58303,1.36468,0.0007624,0.0007624,0.0007624
62,373.31,1.55099,1.66017,1.34551,0.45728,0.44895,0.48653,0.26501,1.43663,1.55412,1.30008,0.00075844,0.00075844,0.00075844
63,379.348,1.54526,1.6385,1.32798,0.56396,0.5461,0.56851,0.30749,1.51676,1.56116,1.34479,0.00075448,0.00075448,0.00075448
64,385.267,1.58802,1.66947,1.3539,0.78669,0.47835,0.5403,0.28105,1.53213,1.57761,1.36285,0.00075052,0.00075052,0.00075052
65,391.093,1.54668,1.62371,1.34098,0.69295,0.45466,0.5191,0.26773,1.58737,1.57937,1.39036,0.00074656,0.00074656,0.00074656
66,396.903,1.54393,1.63354,1.3438,0.62251,0.4647,0.5034,0.27133,1.53118,1.55168,1.36931,0.0007426,0.0007426,0.0007426
67,402.74,1.54652,1.60385,1.33546,0.40998,0.62536,0.5148,0.26683,1.57587,1.5467,1.35607,0.00073864,0.00073864,0.00073864
68,408.585,1.53284,1.57085,1.31832,0.65729,0.59361,0.56973,0.3015,1.59392,1.58075,1.37379,0.00073468,0.00073468,0.00073468
69,414.488,1.5281,1.56657,1.31562,0.43645,0.55428,0.51914,0.27065,1.50174,1.59952,1.33892,0.00073072,0.00073072,0.00073072
70,420.292,1.53332,1.57478,1.32564,0.71949,0.51895,0.54778,0.29052,1.51244,1.5908,1.34525,0.00072676,0.00072676,0.00072676
71,426.043,1.52548,1.57498,1.321,0.74175,0.52712,0.56934,0.29496,1.52566,1.60053,1.33946,0.0007228,0.0007228,0.0007228
72,431.886,1.52522,1.56835,1.31273,0.62331,0.59711,0.60945,0.32099,1.58365,1.55208,1.34647,0.00071884,0.00071884,0.00071884
73,437.803,1.53457,1.57821,1.31489,0.56602,0.66498,0.64481,0.37468,1.40524,1.49373,1.29422,0.00071488,0.00071488,0.00071488
74,443.668,1.525,1.57558,1.32182,0.59603,0.70955,0.60906,0.3226,1.48203,1.51874,1.30675,0.00071092,0.00071092,0.00071092
75,449.486,1.52672,1.5789,1.32233,0.55034,0.62698,0.60832,0.33177,1.42668,1.55806,1.30548,0.00070696,0.00070696,0.00070696
76,455.359,1.50675,1.53138,1.30728,0.50651,0.68426,0.57752,0.29239,1.44705,1.51888,1.30688,0.000703,0.000703,0.000703
77,461.189,1.52167,1.56352,1.31634,0.67256,0.64972,0.62669,0.34974,1.45381,1.57432,1.31458,0.00069904,0.00069904,0.00069904
78,467.12,1.52221,1.54148,1.3208,0.56938,0.7223,0.60905,0.32652,1.49091,1.57243,1.30354,0.00069508,0.00069508,0.00069508
79,472.941,1.52645,1.52197,1.31503,0.79214,0.52566,0.59425,0.31597,1.49816,1.53679,1.32253,0.00069112,0.00069112,0.00069112
80,478.826,1.50536,1.53381,1.30818,0.6268,0.6641,0.63284,0.34361,1.48537,1.5105,1.31159,0.00068716,0.00068716,0.00068716
81,484.689,1.51688,1.53784,1.31375,0.68993,0.68671,0.67841,0.37599,1.59754,1.4665,1.36754,0.0006832,0.0006832,0.0006832
82,490.567,1.4876,1.50407,1.28835,0.51311,0.66739,0.59847,0.31841,1.55904,1.45272,1.32994,0.00067924,0.00067924,0.00067924
